StationCode,Date,fieldcrew,debriscategory,Parameter,Result,resulttext,comments,downstreamupstream,segmentlength,studytype,statelocation,sccwrp_sites_rowid
Rynerson Park South,9/14/2018,Algalita 2,Biodegradable,Biodegradable Other,1,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 2,Construction,Bricks,1,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 2,Glass,Glass Bottles,1,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 2,Glass,Glass Pieces,-99,H,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 2,Metal,Aluminum Foil pieces,1,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 2,Metal,Auto Parts,1,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 2,Metal,Metal Bottle Caps,3,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 2,Metal,"Nails, Screws, Bolts, etc.",15,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 2,Metal,Small Batteries,9,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 2,Metal,"Wire (barb, chicken, etc.)",9,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 2,Metal,Metal Other,8,,1 soda can tab,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 2,Miscellaneous,Ceramic Pots/Shards,6,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park South,9/14/2018,Algalita 2,Miscellaneous,E-waste,2,,,Not specified,100 ft,SoCalTally,Southern,25
Whittier Narrows Nature Center revisit,12/11/2019,Shelly Moore/Miranda Roethler,Plastic,Foam Cups,1,,,Not specified,100 ft,SoCalTally,Southern,40
Whittier Narrows Nature Center revisit,12/11/2019,Shelly Moore/Miranda Roethler,Plastic,Foam Pieces/Pellets,30,,,Not specified,100 ft,SoCalTally,Southern,40
Whittier Narrows Nature Center revisit,12/11/2019,Shelly Moore/Miranda Roethler,Plastic,Hard Plastic Pieces,89,,,Not specified,100 ft,SoCalTally,Southern,40
Rynerson Park South,9/14/2018,Algalita 2,Miscellaneous,Rubber/Rubber Pieces,14,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park North,9/14/2018,Miranda Roethler,Plastic,Cigarette Butts,10,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Miranda Roethler,Plastic,Foam Pieces/Pellets,3,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park South,9/14/2018,Algalita 1,Biodegradable,Food Waste,2,,,Not specified,100 ft,SoCalTally,Southern,25
Rynerson Park North,9/14/2018,Miranda Roethler,Plastic,Hard Plastic Container,1,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Miranda Roethler,Plastic,Hard Plastic Pieces,63,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Miranda Roethler,Plastic,Soft Plastic Pieces,2,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Miranda Roethler,Plastic,Straw/Stirrer,2,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Miranda Roethler,Metal,Small Batteries,6,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Miranda Roethler,Plastic,Wrapper/Wrapper Pieces,2,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Miranda Roethler,Biodegradable,Food Waste,1,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Miranda Roethler,Biodegradable,Paper/ cardboard,2,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Miranda Roethler,Biohazard,Biohazard Other,1,,unidentifiable,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Miranda Roethler,Construction,Concrete/Asphalt,3,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Miranda Roethler,Construction,Fabricated Wood,2,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Miranda Roethler,Glass,Glass Pieces,-99,H,Big group of glass pieces counted as coming from 1 bottle,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Miranda Roethler,Metal,Aluminum Foil pieces,2,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Miranda Roethler,Metal,"Nails, Screws, Bolts, etc.",12,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Miranda Roethler,Metal,"Wire (barb, chicken, etc.)",2,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Miranda Roethler,Metal,Metal Other,11,,"1 fork, 1 CO2 cartridge, 9 metal pieces",Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Miranda Roethler,Miscellaneous,Ceramic Pots/Shards,3,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Miranda Roethler,Miscellaneous,Foam rubber,2,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Miranda Roethler,Miscellaneous,Waxed Paper Cups/Plates,1,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Miranda Roethler,Miscellaneous,Misc. Other,4,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Algalita 1+2,Plastic,Cigarette Butts,9,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Algalita 1+2,Plastic,Container Cap/Pieces,1,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Algalita 1+2,Plastic,Foam Pieces/Pellets,5,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Algalita 1+2,Plastic,Hard Plastic Container,2,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Algalita 1+2,Plastic,Hard Plastic Pieces,32,,,Not specified,100 ft,SoCalTally,Southern,24
Rynerson Park North,9/14/2018,Algalita 1+2,Plastic,Soft Plastic Pieces,1,,,Not specified,100 ft,SoCalTally,Southern,24
San Gabriel River 185th,7/19/2018,Dana Shultz; Miranda Roethler; CR,Glass,Glass Bottles,1,,,Not specified,100 ft,SoCalTally,Southern,28
San Gabriel River 185th,7/19/2018,Dana Shultz; Miranda Roethler; CR,Glass,Glass Pieces,-99,M,,Not specified,100 ft,SoCalTally,Southern,28
San Gabriel River 185th,7/19/2018,Dana Shultz; Miranda Roethler; CR,Metal,Aluminum Foil pieces,3,,,Not specified,100 ft,SoCalTally,Southern,28
San Gabriel River 185th,7/19/2018,Dana Shultz; Miranda Roethler; CR,Metal,Aluminum or Steel Cans,2,,1 lid,Not specified,100 ft,SoCalTally,Southern,28
San Gabriel River 185th,7/19/2018,Dana Shultz; Miranda Roethler; CR,Metal,Metal Pipe/Bar Segments,3,,,Not specified,100 ft,SoCalTally,Southern,28
San Gabriel River 185th,7/19/2018,Dana Shultz; Miranda Roethler; CR,Metal,"Nails, Screws, Bolts, etc.",11,,,Not specified,100 ft,SoCalTally,Southern,28
San Gabriel River 185th,7/19/2018,Dana Shultz; Miranda Roethler; CR,Metal,Small Batteries,5,,,Not specified,100 ft,SoCalTally,Southern,28
San Gabriel River 185th,7/19/2018,Dana Shultz; Miranda Roethler; CR,Metal,"Wire (barb, chicken, etc.)",6,,,Not specified,100 ft,SoCalTally,Southern,28
San Gabriel River Flora Vista St.,7/19/2018,Shelly Moore; Dana Shultz; Miranda Roethler; CR,Plastic,Wrapper/Wrapper Pieces,2,,,Not specified,100 ft,SoCalTally,Southern,33
San Gabriel River Flora Vista St.,7/19/2018,Shelly Moore; Dana Shultz; Miranda Roethler; CR,Plastic,Plastic Other,1,,sunglass lens,Not specified,100 ft,SoCalTally,Southern,33
San Gabriel River Flora Vista St.,7/19/2018,Shelly Moore; Dana Shultz; Miranda Roethler; CR,Biodegradable,Food Waste,1,,,Not specified,100 ft,SoCalTally,Southern,33
San Gabriel River Flora Vista St.,7/19/2018,Shelly Moore; Dana Shultz; Miranda Roethler; CR,Biodegradable,Paper/ cardboard,20,,,Not specified,100 ft,SoCalTally,Southern,33
San Gabriel River Flora Vista St.,7/19/2018,Shelly Moore; Dana Shultz; Miranda Roethler; CR,Construction,Concrete/Asphalt,5,,,Not specified,100 ft,SoCalTally,Southern,33
San Gabriel River Flora Vista St.,7/19/2018,Shelly Moore; Dana Shultz; Miranda Roethler; CR,Construction,Fabricated Wood,3,,,Not specified,100 ft,SoCalTally,Southern,33
San Gabriel River Flora Vista St.,7/19/2018,Shelly Moore; Dana Shultz; Miranda Roethler; CR,Construction,Rebar,1,,,Not specified,100 ft,SoCalTally,Southern,33
San Gabriel River Flora Vista St.,7/19/2018,Shelly Moore; Dana Shultz; Miranda Roethler; CR,Glass,Glass Pieces,-99,M,,Not specified,100 ft,SoCalTally,Southern,33
San Gabriel River Flora Vista St.,7/19/2018,Shelly Moore; Dana Shultz; Miranda Roethler; CR,Metal,Aluminum Foil pieces,1,,,Not specified,100 ft,SoCalTally,Southern,33
Whittier Narrows Nature Center,9/20/2019,"Miranda Roethler, Shelly Moore, Raeann",Plastic,Balloons,3,,,Not specified,100 ft,SoCalTally,Southern,39
Whittier Narrows Nature Center,9/20/2019,"Miranda Roethler, Shelly Moore, Raeann",Plastic,Beverage Bottles,9,,,Not specified,100 ft,SoCalTally,Southern,39
Whittier Narrows Nature Center,9/20/2019,"Miranda Roethler, Shelly Moore, Raeann",Plastic,Chip Bags,14,,,Not specified,100 ft,SoCalTally,Southern,39
Whittier Narrows Nature Center,9/20/2019,"Miranda Roethler, Shelly Moore, Raeann",Plastic,Cigarette Butts,11,,,Not specified,100 ft,SoCalTally,Southern,39
Whittier Narrows Nature Center,9/20/2019,"Miranda Roethler, Shelly Moore, Raeann",Plastic,Container Cap/Pieces,2,,,Not specified,100 ft,SoCalTally,Southern,39
Whittier Narrows Nature Center,9/20/2019,"Miranda Roethler, Shelly Moore, Raeann",Plastic,Cups,7,,,Not specified,100 ft,SoCalTally,Southern,39
Whittier Narrows Nature Center,9/20/2019,"Miranda Roethler, Shelly Moore, Raeann",Plastic,Foam Cups,6,,,Not specified,100 ft,SoCalTally,Southern,39
Whittier Narrows Nature Center,9/20/2019,"Miranda Roethler, Shelly Moore, Raeann",Plastic,Foam Pieces/Pellets,39,,,Not specified,100 ft,SoCalTally,Southern,39
Whittier Narrows Nature Center,9/20/2019,"Miranda Roethler, Shelly Moore, Raeann",Large,Shopping Carts,1,,,Not specified,100 ft,SoCalTally,Southern,39
Whittier Narrows Nature Center,9/20/2019,"Miranda Roethler, Shelly Moore, Raeann",Large,Tires,1,,,Not specified,100 ft,SoCalTally,Southern,39
Whittier Narrows Nature Center,9/20/2019,"Miranda Roethler, Shelly Moore, Raeann",Biodegradable,Food Waste,1,,,Not specified,100 ft,SoCalTally,Southern,39
Rynerson Park South,9/14/2018,Algalita 1,Biodegradable,Paper/ cardboard,6,,,Not specified,100 ft,SoCalTally,Southern,25
San Gabriel River Flora Vista St.,7/19/2018,Shelly Moore; Dana Shultz; Miranda Roethler; CR,Metal,Auto Parts,1,,bike rim,Not specified,100 ft,SoCalTally,Southern,33
San Gabriel River Flora Vista St.,7/19/2018,Shelly Moore; Dana Shultz; Miranda Roethler; CR,Metal,Metal bottle Caps,1,,,Not specified,100 ft,SoCalTally,Southern,33
San Gabriel River at 91 Freeway,12/12/2018,Shelly Moore,Miscellaneous,Misc. Other,1,,1 pill pac,Not specified,100 ft,SoCalTally,Southern,30
San Gabriel River Flora Vista St.,7/19/2018,Shelly Moore; Dana Shultz; Miranda Roethler; CR,Metal,Metal Pipe/Bar Segments,1,,,Not specified,100 ft,SoCalTally,Southern,33
San Gabriel River at 91 Freeway,7/19/2018,Dana Shultz; Miranda Roethler; CR,Plastic,Foam Pieces/Pellets,20,,,Not specified,100 ft,SoCalTally,Southern,29
San Gabriel River at 91 Freeway,7/19/2018,Dana Shultz; Miranda Roethler; CR,Biodegradable,Food Waste,7,,,Not specified,100 ft,SoCalTally,Southern,29
San Gabriel River at 91 Freeway,7/19/2018,Dana Shultz; Miranda Roethler; CR,Glass,Glass Bottles,1,,,Not specified,100 ft,SoCalTally,Southern,29
San Gabriel River at 91 Freeway,7/19/2018,Dana Shultz; Miranda Roethler; CR,Glass,Glass Pieces,-99,H,,Not specified,100 ft,SoCalTally,Southern,29
San Gabriel River at 91 Freeway,7/19/2018,Dana Shultz; Miranda Roethler; CR,Plastic,Hard Plastic Container,4,,,Not specified,100 ft,SoCalTally,Southern,29
San Gabriel River at 91 Freeway,7/19/2018,Dana Shultz; Miranda Roethler; CR,Miscellaneous,Sports Balls,3,,,Not specified,100 ft,SoCalTally,Southern,29
San Gabriel River at 91 Freeway,7/19/2018,Dana Shultz; Miranda Roethler; CR,Plastic,Straw/Stirrer,7,,,Not specified,100 ft,SoCalTally,Southern,29
San Gabriel River at 91 Freeway,7/19/2018,Dana Shultz; Miranda Roethler; CR,Fabric and Cloth,Synthetic Fabric,10,,,Not specified,100 ft,SoCalTally,Southern,29
San Gabriel River at 91 Freeway,7/19/2018,Dana Shultz; Miranda Roethler; CR,Miscellaneous,Waxed paper cups/Plates,2,,,Not specified,100 ft,SoCalTally,Southern,29
San Gabriel River at 91 Freeway,7/19/2018,Dana Shultz; Miranda Roethler; CR,Metal,"Wire (barb, chicken, etc.)",15,,chain link,Not specified,100 ft,SoCalTally,Southern,29
San Gabriel River at 91 Freeway,7/19/2018,Dana Shultz; Miranda Roethler; CR,Plastic,Wrapper/Wrapper Pieces,80,,,Not specified,100 ft,SoCalTally,Southern,29
San Gabriel River at 91 Freeway,12/12/2018,Shelly Moore,Metal,Aluminum Foil pieces,4,,,Not specified,100 ft,SoCalTally,Southern,30
San Gabriel River at 91 Freeway,12/12/2018,Shelly Moore,Plastic,Beverage Bottles,1,,,Not specified,100 ft,SoCalTally,Southern,30
San Gabriel River at 91 Freeway,12/12/2018,Shelly Moore,Biodegradable,Paper/ cardboard,4,,,Not specified,100 ft,SoCalTally,Southern,30
San Gabriel River at 91 Freeway,12/12/2018,Shelly Moore,Plastic,Pens/Markers,3,,,Not specified,100 ft,SoCalTally,Southern,30
San Gabriel River at 91 Freeway,12/12/2018,Shelly Moore,Plastic,Plates,1,,,Not specified,100 ft,SoCalTally,Southern,30
San Gabriel River at 91 Freeway,12/12/2018,Shelly Moore,Fabric and Cloth,Shoes,2,,,Not specified,100 ft,SoCalTally,Southern,30
San Gabriel River at 91 Freeway,12/12/2018,Shelly Moore,Plastic,Single Use Container,1,,,Not specified,100 ft,SoCalTally,Southern,30
San Gabriel River at 91 Freeway,12/12/2018,Shelly Moore,Plastic,Soft Plastic Pieces,15,,,Not specified,100 ft,SoCalTally,Southern,30
San Gabriel River at 91 Freeway,12/12/2018,Shelly Moore,Plastic,Straw/Stirrer,3,,,Not specified,100 ft,SoCalTally,Southern,30
San Gabriel River at 91 Freeway,12/12/2018,Shelly Moore,Fabric and Cloth,Synthetic Fabric,3,,,Not specified,100 ft,SoCalTally,Southern,30
San Gabriel River at 91 Freeway,12/12/2018,Shelly Moore,Plastic,Tobacco Wrapper/Pieces,1,,,Not specified,100 ft,SoCalTally,Southern,30
San Gabriel River at 91 Freeway,12/12/2018,Shelly Moore,Plastic,Wrapper/Wrapper Pieces,10,,,Not specified,100 ft,SoCalTally,Southern,30
Craig Park (0-300ft),9/11/2019,Shelly Moore/Miranda Roethler,Biodegradable,Paper/ cardboard,50,,,Not specified,300 ft,SoCalTally,Southern,10
Craig Park (0-300ft),9/11/2019,Shelly Moore/Miranda Roethler,Metal,Aluminum Foil pieces,45,,,Not specified,300 ft,SoCalTally,Southern,10
Greenville - Banning Channel (0-300ft),10/18/2019,Raeann Iller/Miranda Roethler,Plastic,Bag - single use,189,,,Not specified,300 ft,SoCalTally,Southern,16
Greenville - Banning Channel (0-300ft),10/18/2019,Raeann Iller/Miranda Roethler,Plastic,Bag Pieces,58,,,Not specified,300 ft,SoCalTally,Southern,16
Greenville - Banning Channel (0-300ft),10/18/2019,Raeann Iller/Miranda Roethler,Plastic,Balloons,11,,,Not specified,300 ft,SoCalTally,Southern,16
Greenville - Banning Channel (0-300ft),10/18/2019,Raeann Iller/Miranda Roethler,Plastic,Beverage Bottles,84,,,Not specified,300 ft,SoCalTally,Southern,16
Greenville - Banning Channel (0-300ft),10/18/2019,Raeann Iller/Miranda Roethler,Plastic,Chip Bags,23,,,Not specified,300 ft,SoCalTally,Southern,16
Aliso Canyon Wash,5/30/2018,Liesl Tiefenthaler; Miranda Roethler; Cody Fees; Shelly Moore,Plastic,Cigarette Butts,3,,,Not specified,100 ft,SoCalTally,Southern,1
Aliso Canyon Wash,5/30/2018,Liesl Tiefenthaler; Miranda Roethler; Cody Fees; Shelly Moore,Plastic,Foam Packing Peanuts,1,,,Not specified,100 ft,SoCalTally,Southern,1
Aliso Canyon Wash,5/30/2018,Liesl Tiefenthaler; Miranda Roethler; Cody Fees; Shelly Moore,Plastic,Foam Pieces/Pellets,5,,,Not specified,100 ft,SoCalTally,Southern,1
Aliso Canyon Wash,5/30/2018,Liesl Tiefenthaler; Miranda Roethler; Cody Fees; Shelly Moore,Plastic,Hard Plastic Pieces,4,,,Not specified,100 ft,SoCalTally,Southern,1
Aliso Canyon Wash,5/30/2018,Liesl Tiefenthaler; Miranda Roethler; Cody Fees; Shelly Moore,Plastic,Soft Plastic Pieces,3,,,Not specified,100 ft,SoCalTally,Southern,1
Aliso Canyon Wash,5/30/2018,Liesl Tiefenthaler; Miranda Roethler; Cody Fees; Shelly Moore,Plastic,Tobacco Wrapper/Pieces,1,,,Not specified,100 ft,SoCalTally,Southern,1
Aliso Canyon Wash,5/30/2018,Liesl Tiefenthaler; Miranda Roethler; Cody Fees; Shelly Moore,Plastic,Wrapper/Wrapper Pieces,3,,,Not specified,100 ft,SoCalTally,Southern,1
Aliso Canyon Wash,5/30/2018,Liesl Tiefenthaler; Miranda Roethler; Cody Fees; Shelly Moore,Biodegradable,Paper/ cardboard,6,,,Not specified,100 ft,SoCalTally,Southern,1
Fullerton Creek at Acacia Avenue,6/12/2018,Miranda Roethler,Plastic,Hard Plastic Pieces,1,,,Not specified,100 ft,SoCalTally,Southern,13
Fullerton Creek at Acacia Avenue,6/12/2018,Miranda Roethler,Plastic,Soft Plastic Pieces,3,,,Not specified,100 ft,SoCalTally,Southern,13
Fullerton Creek at Acacia Avenue,6/12/2018,Miranda Roethler,Plastic,Wrapper/Wrapper Pieces,3,,includes one straw wrapper,Not specified,100 ft,SoCalTally,Southern,13
San Diego Creek (0-300ft),9/13/2019,Dana Shultz/Raeann/Miranda Roethler,Plastic,Plastic Straw Wrapper,1,,,Not specified,300 ft,SoCalTally,Southern,27
Escondido,5/29/2018,Shelly Moore; Miranda Roethler,Construction,Fabricated Wood,1,,Large,Not specified,100 ft,SoCalTally,Southern,12
Escondido,5/29/2018,Shelly Moore; Miranda Roethler,Glass,Glass Pieces,1,,,Not specified,100 ft,SoCalTally,Southern,12
Escondido,5/29/2018,Shelly Moore; Miranda Roethler,Metal,Aluminum or Steel Cans,4,,,Not specified,100 ft,SoCalTally,Southern,12
Escondido,5/29/2018,Shelly Moore; Miranda Roethler,Metal,Metal Pipe/Bar Segments,1,,,Not specified,100 ft,SoCalTally,Southern,12
Escondido,5/29/2018,Shelly Moore; Miranda Roethler,Metal,"Wire (barb, chicken, etc.)",2,,,Not specified,100 ft,SoCalTally,Southern,12
Escondido,5/29/2018,Shelly Moore; Miranda Roethler,Metal,Metal Other,1,,Hot water heater,Not specified,100 ft,SoCalTally,Southern,12
Escondido,5/29/2018,Shelly Moore; Miranda Roethler,Miscellaneous,Rubber/Rubber Pieces,3,,Bike tube,Not specified,100 ft,SoCalTally,Southern,12
Escondido,5/29/2018,Shelly Moore; Miranda Roethler,Miscellaneous,Misc. Other,1,,Tire,Not specified,100 ft,SoCalTally,Southern,12
San Gabriel River Liberty Park,7/19/2018,Dana Shultz; Miranda Roethler; CR,Plastic,Plastic Other,4,,"pill capsules, spoon, fishing line, security tag",Not specified,100 ft,SoCalTally,Southern,34
San Gabriel River Liberty Park,7/19/2018,Dana Shultz; Miranda Roethler; CR,Fabric and Cloth,"Natural (Cotton, Wool)",1,,,Not specified,100 ft,SoCalTally,Southern,34
Whittier Narrows Nature Center,9/20/2019,"Miranda Roethler, Shelly Moore, Raeann",Fabric and Cloth,Tent/Sleeping bag,8,,,Not specified,100 ft,SoCalTally,Southern,39
Whittier Narrows Nature Center,9/20/2019,"Miranda Roethler, Shelly Moore, Raeann",Fabric and Cloth,Fabric Other,7,,"1 mattress cover, 2 carpet, 1 glove, 1 synthetic string, 2 bags",Not specified,100 ft,SoCalTally,Southern,39
Whittier Narrows Nature Center,9/20/2019,"Miranda Roethler, Shelly Moore, Raeann",Metal,Metal Other,2,,"1 mylar/foil balloon, 1 rusted part of grocery cart",Not specified,100 ft,SoCalTally,Southern,39
Whittier Narrows Nature Center,9/20/2019,"Miranda Roethler, Shelly Moore, Raeann",Miscellaneous,Ceramic Pots/Shards,1,,,Not specified,100 ft,SoCalTally,Southern,39
Whittier Narrows Nature Center,9/20/2019,"Miranda Roethler, Shelly Moore, Raeann",Large,Furniture/Appliances,1,,Chair,Not specified,100 ft,SoCalTally,Southern,39
Whittier Narrows Nature Center,9/20/2019,"Miranda Roethler, Shelly Moore, Raeann",Biodegradable,Paper/ cardboard,18,,,Not specified,100 ft,SoCalTally,Southern,39
Whittier Narrows Nature Center,9/20/2019,"Miranda Roethler, Shelly Moore, Raeann",Biohazard,Dead Animals,2,,,Not specified,100 ft,SoCalTally,Southern,39
Whittier Narrows Nature Center,9/20/2019,"Miranda Roethler, Shelly Moore, Raeann",Biohazard,Pet Waste,1,,Horse,Not specified,100 ft,SoCalTally,Southern,39
Whittier Narrows Nature Center,9/20/2019,"Miranda Roethler, Shelly Moore, Raeann",Construction,Fabricated Wood,2,,,Not specified,100 ft,SoCalTally,Southern,39
Whittier Narrows Nature Center,9/20/2019,"Miranda Roethler, Shelly Moore, Raeann",Construction,Construction Other,1,,1 Drywall,Not specified,100 ft,SoCalTally,Southern,39
Whittier Narrows Nature Center,9/20/2019,"Miranda Roethler, Shelly Moore, Raeann",Glass,Glass Pieces,-99,M,,Not specified,100 ft,SoCalTally,Southern,39
Whittier Narrows Nature Center,9/20/2019,"Miranda Roethler, Shelly Moore, Raeann",Metal,Aluminum Foil pieces,9,,,Not specified,100 ft,SoCalTally,Southern,39
Whittier Narrows Nature Center,9/20/2019,"Miranda Roethler, Shelly Moore, Raeann",Metal,Aluminum or Steel Cans,8,,,Not specified,100 ft,SoCalTally,Southern,39
San Gabriel River 185th,7/19/2018,Dana Shultz; Miranda Roethler; CR,Plastic,Wrapper/Wrapper Pieces,31,,1 chips ahoy bag,Not specified,100 ft,SoCalTally,Southern,28
